"displ_1999","displ_2000","displ_2001","displ_2002","displ_2003","displ_2004","displ_2005","displ_2006","displ_2007","displ_2008","displ_2009","displ_2010","displ_2011","displ_2012","displ_2013","displ_2014","admin2Pcod","displ_mean"
0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,"CO15187",0
0,0,0,82,0,192,0,NA,0,0,NA,6,8,0,0,0,"CO15189",20.5714285714286
0,0,0,0,0,0,0,NA,17,0,4,6,0,0,0,0,"CO15204",1.8
0,0,0,0,0,12,0,NA,10,20,NA,5,0,1,3,0,"CO15212",3.64285714285714
0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,"CO15215",0
0,0,0,0,0,0,0,NA,0,0,NA,0,2,3,0,0,"CO15218",0.357142857142857
265,0,0,0,6,44,61,56,124,89,12,25,8,51,28,11,"CO15223",48.75
0,0,0,0,0,0,0,NA,0,0,NA,5,0,0,5,2,"CO15224",0.857142857142857
0,0,0,0,76,0,0,NA,0,0,NA,0,0,0,0,0,"CO15226",5.42857142857143
0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,"CO15232",0
0,0,0,0,0,27,7,17,0,1,NA,8,0,1,10,0,"CO15236",4.73333333333333
135,0,435,340,214,670,118,71,181,115,114,18,85,4,3,1,"CO15238",156.5
20,0,0,0,0,0,0,NA,0,0,NA,13,0,4,1,0,"CO15244",2.71428571428571
50,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,"CO15248",3.57142857142857
0,0,0,0,0,21,0,NA,0,0,12,0,0,0,0,0,"CO15272",2.2
0,0,0,3,9,6,0,NA,0,0,NA,0,0,0,0,0,"CO15276",1.28571428571429
0,0,0,26,0,0,0,NA,0,0,NA,0,0,0,0,0,"CO15293",1.85714285714286
0,0,0,0,0,0,0,11,0,5,NA,5,0,0,0,0,"CO15296",1.4
45,0,90,0,24,22,49,49,25,13,19,8,30,6,0,0,"CO15299",23.75
0,0,0,0,0,0,0,NA,5,0,NA,3,0,4,0,0,"CO15317",0.857142857142857
0,0,15,13,19,5,2,27,4,22,31,10,9,1,3,0,"CO15322",10.0625
0,0,0,28,0,3,0,NA,6,5,10,6,8,0,5,0,"CO15325",4.73333333333333
90,0,0,0,0,0,0,53,0,0,NA,1,0,3,4,0,"CO15332",10.0666666666667
0,0,0,0,8,0,0,NA,0,0,NA,0,0,0,6,0,"CO15362",1
0,0,0,0,0,0,18,NA,0,0,NA,0,0,0,0,0,"CO15367",1.28571428571429
0,0,0,0,0,0,0,NA,0,0,NA,18,0,8,0,0,"CO15368",1.85714285714286
46,0,0,0,0,22,31,6,17,NA,NA,14,10,20,29,10,"CO15377",14.6428571428571
